name,type,start_time,duration,"mosi","miso"
"SPI","result",0.0049093,0.0000076,0xFD,0x00
"SPI","result",0.0049183,0.0000076,0x28,0x00
"SPI","result",0.0049735,0.0000076,0x3F,0x00
"SPI","result",0.0049825,0.0000076,0xD4,0x00
"SPI","result",0.0049915,0.0000076,0x00,0x00
"SPI","result",0.0050005,0.0000076,0x24,0x00
"SPI","result",0.0050226,0.0000076,0x00,0x00
"SPI","result",0.0050324,0.0000076,0x00,0x00
"SPI","result",0.0050423,0.0000076,0x00,0x00
"SPI","result",0.0050523,0.0000076,0x00,0x00
"SPI","result",0.005062,0.0000076,0x00,0x00
"SPI","result",0.0050718,0.0000076,0x00,0x00
"SPI","result",0.0050816,0.0000076,0x00,0x00
"SPI","result",0.0050917,0.0000076,0x00,0x00
"SPI","result",0.0051015,0.0000077,0x00,0x00
"SPI","result",0.0051113,0.0000076,0x00,0x00
"SPI","result",0.0051211,0.0000076,0x00,0x00
"SPI","result",0.0051309,0.0000076,0x00,0x00
"SPI","result",0.0051407,0.0000076,0x00,0x00
"SPI","result",0.0051505,0.0000076,0x00,0x01
"SPI","result",0.0051609,0.0000076,0x00,0x00
"SPI","result",0.0051699,0.0000076,0x65,0x00
"SPI","result",0.0051789,0.0000076,0x6C,0x00
"SPI","result",0.0051879,0.0000076,0xE9,0x00
"SPI","result",0.0051969,0.0000076,0x84,0x00
"SPI","result",0.0052059,0.0000076,0x79,0x00
"SPI","result",0.0052149,0.0000076,0xAC,0x00
"SPI","result",0.0052239,0.0000076,0x56,0x00
"SPI","result",0.0052329,0.0000076,0x01,0x00
"SPI","result",0.0052419,0.0000076,0x4E,0x00
"SPI","result",0.0052509,0.0000076,0xB6,0x00
"SPI","result",0.0052599,0.0000076,0xA9,0x00
"SPI","result",0.0052689,0.0000076,0x58,0x00
"SPI","result",0.0052779,0.0000076,0x68,0x00
"SPI","result",0.0052869,0.0000076,0x8E,0x00
"SPI","result",0.0052959,0.0000076,0x69,0x00
"SPI","result",0.0053049,0.0000076,0x20,0x00
"SPI","result",0.0053139,0.0000076,0x8F,0x00
"SPI","result",0.0053229,0.0000076,0x8B,0x00
"SPI","result",0.0053319,0.0000076,0x21,0x00
"SPI","result",0.0053409,0.0000076,0x22,0x00
"SPI","result",0.0053499,0.0000076,0x47,0x00
"SPI","result",0.0053589,0.0000076,0x22,0x00
"SPI","result",0.0053679,0.0000076,0x8F,0x00
"SPI","result",0.0053769,0.0000076,0x85,0x00
"SPI","result",0.0053859,0.0000076,0x44,0x00
"SPI","result",0.0053949,0.0000076,0x7F,0x00
"SPI","result",0.0054039,0.0000076,0xD9,0x00
"SPI","result",0.0054129,0.0000076,0xFA,0x00
"SPI","result",0.0054219,0.0000076,0xC5,0x00
"SPI","result",0.0054309,0.0000076,0xFE,0x00
"SPI","result",0.0054399,0.0000076,0xB5,0x00
"SPI","result",0.0054489,0.0000076,0x83,0x00
"SPI","result",0.0054579,0.0000076,0xC9,0x00
"SPI","result",0.0054669,0.0000076,0xF3,0x00
"SPI","result",0.0054759,0.0000076,0x80,0x00
"SPI","result",0.0054849,0.0000076,0x13,0x00
"SPI","result",0.0054939,0.0000076,0x49,0x00
"SPI","result",0.0055029,0.0000076,0xA9,0x00
"SPI","result",0.0055119,0.0000076,0x51,0x00
"SPI","result",0.0055209,0.0000076,0x68,0x00
"SPI","result",0.0055299,0.0000076,0x71,0x00
"SPI","result",0.0055389,0.0000076,0x02,0x00
"SPI","result",0.0055479,0.0000076,0x34,0x00
"SPI","result",0.0055569,0.0000076,0x3B,0x00
"SPI","result",0.0055659,0.0000076,0x69,0x00
"SPI","result",0.0055749,0.0000076,0x31,0x00
"SPI","result",0.0055839,0.0000076,0x6C,0x00
"SPI","result",0.0055929,0.0000076,0x5F,0x00
"SPI","result",0.0056019,0.0000076,0x6F,0x00
"SPI","result",0.0056109,0.0000076,0xA5,0x00
"SPI","result",0.0056199,0.0000076,0xCC,0x00
"SPI","result",0.0056289,0.0000076,0x31,0x00
"SPI","result",0.0056379,0.0000076,0xDD,0x00
"SPI","result",0.0056469,0.0000076,0x5F,0x00
"SPI","result",0.0056559,0.0000076,0x90,0x00
"SPI","result",0.0056649,0.0000076,0x0E,0x00
"SPI","result",0.0056739,0.0000076,0x2B,0x00
"SPI","result",0.0056829,0.0000076,0x66,0x00
"SPI","result",0.0056919,0.0000076,0x45,0x00
"SPI","result",0.0057009,0.0000076,0xAE,0x00
"SPI","result",0.0057099,0.0000076,0x93,0x00
"SPI","result",0.0057189,0.0000076,0x6E,0x00
"SPI","result",0.0057279,0.0000076,0x2C,0x00
"SPI","result",0.0057771,0.0000076,0x80,0x00
"SPI","result",0.0057861,0.0000076,0xD4,0x00
"SPI","result",0.0057951,0.0000076,0x00,0x00
"SPI","result",0.0058041,0.0000076,0x18,0x00
"SPI","result",0.0058224,0.0000076,0x00,0x00
"SPI","result",0.0058322,0.0000076,0x00,0x00
"SPI","result",0.0058422,0.0000077,0x00,0x00
"SPI","result",0.005852,0.0000076,0x00,0x00
"SPI","result",0.0058617,0.0000076,0x00,0x00
"SPI","result",0.0058714,0.0000076,0x00,0x00
"SPI","result",0.0058811,0.0000076,0x00,0x00
"SPI","result",0.0058908,0.0000076,0x00,0x00
"SPI","result",0.0059005,0.0000076,0x00,0x00
"SPI","result",0.0059103,0.0000076,0x00,0x00
"SPI","result",0.005995,0.0000076,0x00,0x00
"SPI","result",0.0060049,0.0000076,0x00,0x00
"SPI","result",0.0060146,0.0000076,0x00,0x00
"SPI","result",0.0060244,0.0000076,0x00,0x01
"SPI","result",0.0060343,0.0000076,0x00,0x8C
"SPI","result",0.0060512,0.0000076,0x80,0x00
"SPI","result",0.0060602,0.0000076,0xD4,0x00
"SPI","result",0.0060692,0.0000076,0x00,0x00
"SPI","result",0.0060782,0.0000076,0x18,0x00
"SPI","result",0.0060989,0.0000077,0x00,0x00
"SPI","result",0.0061088,0.0000076,0x00,0x00
"SPI","result",0.0061186,0.0000076,0x00,0x00
"SPI","result",0.0061284,0.0000076,0x00,0x00
"SPI","result",0.0061381,0.0000076,0x00,0x00
"SPI","result",0.0061478,0.0000076,0x00,0x00
"SPI","result",0.0061575,0.0000076,0x00,0x00
"SPI","result",0.0061673,0.0000076,0x00,0x00
"SPI","result",0.0061769,0.0000076,0x00,0x00
"SPI","result",0.0061866,0.0000076,0x00,0x00
"SPI","result",0.0061963,0.0000076,0x00,0x00
"SPI","result",0.006206,0.0000076,0x00,0x00
"SPI","result",0.0062156,0.0000076,0x00,0x00
"SPI","result",0.0062253,0.0000076,0x00,0x01
"SPI","result",0.0062351,0.0000076,0x00,0x8C
"SPI","result",0.0062517,0.0000076,0x83,0x00
"SPI","result",0.0062607,0.0000076,0xD4,0x00
"SPI","result",0.0062697,0.0000076,0x00,0x00
"SPI","result",0.0062787,0.0000076,0x18,0x00
"SPI","result",0.0070338,0.0000076,0x00,0x00
"SPI","result",0.0070438,0.0000076,0x00,0x00
"SPI","result",0.0070536,0.0000076,0x00,0x00
"SPI","result",0.0070633,0.0000076,0x00,0x00
"SPI","result",0.007073,0.0000076,0x00,0x00
"SPI","result",0.0070827,0.0000076,0x00,0x00
"SPI","result",0.0070924,0.0000076,0x00,0x00
"SPI","result",0.0071021,0.0000076,0x00,0x00
"SPI","result",0.0071119,0.0000076,0x00,0x00
"SPI","result",0.0071215,0.0000077,0x00,0x00
"SPI","result",0.0071313,0.0000076,0x00,0x01
